"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Inner Regional Australia","17-25","unlicensed_driving","Not applicable",34,0,130,"Unknown"
2024,"NSW","Inner Regional Australia","26-39","unlicensed_driving","Not applicable",72,0,262,"Unknown"
2024,"NSW","Inner Regional Australia","40-64","unlicensed_driving","Not applicable",58,0,163,"Unknown"
2024,"NSW","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",5,0,9,"Unknown"
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",1,0,30,"Unknown"
2024,"NSW","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",146,0,423,"Unknown"
2024,"NSW","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",161,0,583,"Unknown"
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",86,0,423,"Unknown"
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",10,0,26,"Unknown"
2024,"NSW","Major Cities of Australia","Unknown","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NSW","Outer Regional Australia","17-25","unlicensed_driving","Not applicable",8,0,48,"Unknown"
2024,"NSW","Outer Regional Australia","26-39","unlicensed_driving","Not applicable",21,0,71,"Unknown"
2024,"NSW","Outer Regional Australia","40-64","unlicensed_driving","Not applicable",9,0,46,"Unknown"
2024,"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,4,"Unknown"
2024,"NSW","Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Remote Australia","26-39","unlicensed_driving","Not applicable",2,0,13,"Unknown"
2024,"NSW","Remote Australia","40-64","unlicensed_driving","Not applicable",4,0,6,"Unknown"
2024,"NSW","Remote Australia","65 and over","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"NSW","Unknown","0-16","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Unknown","17-25","unlicensed_driving","Not applicable",2,0,10,"Unknown"
2024,"NSW","Unknown","26-39","unlicensed_driving","Not applicable",4,0,11,"Unknown"
2024,"NSW","Unknown","40-64","unlicensed_driving","Not applicable",1,0,7,"Unknown"
2024,"NSW","Very Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Very Remote Australia","26-39","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Very Remote Australia","40-64","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NT","Unknown","0-16","unlicensed_driving","Not applicable",0,7,17,"Unknown"
2024,"NT","Unknown","17-25","unlicensed_driving","Not applicable",8,8,39,"Unknown"
2024,"NT","Unknown","26-39","unlicensed_driving","Not applicable",13,6,43,"Unknown"
2024,"NT","Unknown","40-64","unlicensed_driving","Not applicable",11,12,54,"Unknown"
2024,"QLD","Unknown","0-16","unlicensed_driving","Not applicable",46,0,0,"Unknown"
2024,"QLD","Unknown","17-25","unlicensed_driving","Not applicable",658,0,0,"Unknown"
2024,"QLD","Unknown","26-39","unlicensed_driving","Not applicable",959,0,0,"Unknown"
2024,"QLD","Unknown","40-64","unlicensed_driving","Not applicable",607,0,0,"Unknown"
2024,"QLD","Unknown","65 and over","unlicensed_driving","Not applicable",40,0,0,"Unknown"
2024,"SA","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,0,"Unknown"
2024,"SA","Inner Regional Australia","Unknown","unlicensed_driving","Not applicable",41,0,0,"Unknown"
2024,"SA","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",10,0,0,"Unknown"
2024,"SA","Major Cities of Australia","Unknown","unlicensed_driving","Not applicable",322,0,0,"Unknown"
2024,"SA","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",8,0,0,"Unknown"
2024,"SA","Outer Regional Australia","Unknown","unlicensed_driving","Not applicable",67,0,0,"Unknown"
2024,"SA","Remote Australia","65 and over","unlicensed_driving","Not applicable",2,0,0,"Unknown"
2024,"SA","Remote Australia","Unknown","unlicensed_driving","Not applicable",16,0,0,"Unknown"
2024,"SA","Unknown","0-16","unlicensed_driving","Not applicable",0,3,6,"Unknown"
2024,"SA","Unknown","17-25","unlicensed_driving","Not applicable",0,18,55,"Unknown"
2024,"SA","Unknown","26-39","unlicensed_driving","Not applicable",0,54,129,"Unknown"
2024,"SA","Unknown","40-64","unlicensed_driving","Not applicable",0,43,134,"Unknown"
2024,"SA","Unknown","65 and over","unlicensed_driving","Not applicable",0,1,12,"Unknown"
2024,"SA","Unknown","Unknown","unlicensed_driving","Not applicable",8,0,0,"Unknown"
2024,"SA","Very Remote Australia","Unknown","unlicensed_driving","Not applicable",6,0,0,"Unknown"
2024,"TAS","Unknown","0-16","unlicensed_driving","Not applicable",0,1,2,"Unknown"
2024,"TAS","Unknown","17-25","unlicensed_driving","Not applicable",2,0,29,"Unknown"
2024,"TAS","Unknown","26-39","unlicensed_driving","Not applicable",8,0,73,"Unknown"
2024,"TAS","Unknown","40-64","unlicensed_driving","Not applicable",6,0,39,"Unknown"
2024,"TAS","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,3,"Unknown"
2024,"VIC","Unknown","0-16","unlicensed_driving","Not applicable",7,0,0,"Unknown"
2024,"VIC","Unknown","17-25","unlicensed_driving","Not applicable",167,0,0,"Unknown"
2024,"VIC","Unknown","26-39","unlicensed_driving","Not applicable",272,0,0,"Unknown"
2024,"VIC","Unknown","40-64","unlicensed_driving","Not applicable",159,0,0,"Unknown"
2024,"VIC","Unknown","65 and over","unlicensed_driving","Not applicable",17,0,0,"Unknown"
2024,"VIC","Unknown","Unknown","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"WA","Unknown","0-16","unlicensed_driving","Not applicable",0,10,28,"Unknown"
2024,"WA","Unknown","17-25","unlicensed_driving","Not applicable",41,30,326,"Unknown"
2024,"WA","Unknown","26-39","unlicensed_driving","Not applicable",83,74,534,"Unknown"
2024,"WA","Unknown","40-64","unlicensed_driving","Not applicable",57,37,357,"Unknown"
2024,"WA","Unknown","65 and over","unlicensed_driving","Not applicable",6,0,15,"Unknown"
2024,"ACT","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",4,1,2,"Unknown"
2024,"ACT","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",7,6,15,"Unknown"
2024,"ACT","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",5,5,26,"Unknown"
2024,"ACT","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",7,5,20,"Unknown"
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",2,0,6,"Unknown"
2024,"NSW","Inner Regional Australia","17-25","unlicensed_driving","Not applicable",43,0,147,"Unknown"
2024,"NSW","Inner Regional Australia","26-39","unlicensed_driving","Not applicable",83,0,253,"Unknown"
2024,"NSW","Inner Regional Australia","40-64","unlicensed_driving","Not applicable",60,0,176,"Unknown"
2024,"NSW","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",10,0,7,"Unknown"
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",4,0,20,"Unknown"
2024,"NSW","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",169,0,455,"Unknown"
2024,"NSW","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",198,0,654,"Unknown"
