"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Fixed or mobile camera",71,0,0,"Camera"
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Police issued",16,0,1,"Police"
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",64,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",217,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",338,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",124,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","non_wearing_seatbelts","Mobile camera",163,0,0,"Camera"
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Mobile camera",260,0,0,"Camera"
2024,"VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Mobile camera",1167,0,0,"Camera"
2024,"VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Mobile camera",1662,0,0,"Camera"
2024,"VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Mobile camera",521,0,0,"Camera"
2024,"VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts","Mobile camera",954,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
