"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"VIC","Major Cities of Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","Unknown","mobile_phone_use","Mobile camera",1223,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","17-25","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","26-39","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","40-64","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","65 and over","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","Unknown","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","17-25","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","26-39","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","40-64","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","65 and over","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Remote Australia","Unknown","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","0-16","mobile_phone_use","Police issued",3,0,0,"Police"
2024,"VIC","Unknown","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","17-25","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","17-25","mobile_phone_use","Police issued",258,0,0,"Police"
2024,"VIC","Unknown","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","26-39","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","26-39","mobile_phone_use","Police issued",587,0,0,"Police"
2024,"VIC","Unknown","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","40-64","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","40-64","mobile_phone_use","Police issued",452,0,0,"Police"
2024,"VIC","Unknown","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","65 and over","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","65 and over","mobile_phone_use","Police issued",56,0,0,"Police"
2024,"VIC","Unknown","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Unknown","Unknown","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Unknown","Unknown","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"WA","Unknown","17-25","mobile_phone_use","Police issued",62,0,0,"Police"
2024,"WA","Unknown","17-25","mobile_phone_use","Unknown",0,1,3,"Unknown"
2024,"WA","Unknown","26-39","mobile_phone_use","Police issued",130,0,0,"Police"
2024,"WA","Unknown","26-39","mobile_phone_use","Unknown",0,0,5,"Unknown"
2024,"WA","Unknown","40-64","mobile_phone_use","Police issued",91,0,0,"Police"
2024,"WA","Unknown","40-64","mobile_phone_use","Unknown",0,0,3,"Unknown"
2024,"WA","Unknown","65 and over","mobile_phone_use","Police issued",11,0,0,"Police"
2024,"ACT","Major Cities of Australia","17-25","mobile_phone_use","Fixed or mobile camera",265,0,0,"Camera"
2024,"ACT","Major Cities of Australia","17-25","mobile_phone_use","Police issued",5,0,0,"Police"
2024,"ACT","Major Cities of Australia","26-39","mobile_phone_use","Fixed or mobile camera",670,0,0,"Camera"
2024,"ACT","Major Cities of Australia","26-39","mobile_phone_use","Police issued",9,0,0,"Police"
2024,"ACT","Major Cities of Australia","40-64","mobile_phone_use","Fixed or mobile camera",614,0,0,"Camera"
2024,"ACT","Major Cities of Australia","40-64","mobile_phone_use","Police issued",6,0,0,"Police"
2024,"ACT","Major Cities of Australia","65 and over","mobile_phone_use","Fixed or mobile camera",68,0,0,"Camera"
2024,"ACT","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"ACT","Major Cities of Australia","Unknown","mobile_phone_use","Fixed or mobile camera",27,0,0,"Camera"
2024,"NSW","Inner Regional Australia","17-25","mobile_phone_use","Police issued",56,0,1,"Police"
2024,"NSW","Inner Regional Australia","26-39","mobile_phone_use","Police issued",63,0,1,"Police"
